,First Name,Other Names,Full Name,DOB,Day of Birth,Month of Birth,Year of Birth,Position,International Caps,International Goals,Club,Club Country
746,Inaki,Williams,"Williams, Inaki",15 June 1994,15,June,1994,FW,3,0,Athletic Bilbao,Spain
747,Mohammed,Kudus,"Kudus, Mohammed",2 August 2000,2,August,2000,MF,18,5,Ajax,Netherlands
748,Salis,Abdul Samed,"Abdul Samed, Salis",26 March 2000,26,March,2000,MF,1,0,Lens,France
749,Kamaldeen,Sulemana,"Sulemana, Kamaldeen",15 February 2002,15,February,2002,MF,13,0,Rennes,France
750,Alexander,Djiku,"Djiku, Alexander",9 August 1994,9,August,1994,DF,18,1,Strasbourg,France
751,Kamal,Sowah,"Sowah, Kamal",9 January 2000,9,January,2000,MF,1,0,Club Brugge,Belgium
752,Antoine,Semenyo,"Semenyo, Antoine",7 January 2000,7,January,2000,FW,4,1,Bristol City,England
753,Alidu,Seidu,"Seidu, Alidu",4 June 2000,4,June,2000,DF,4,0,Clermont,France
754,Rui,Patricio,"Patricio, Rui",15 February 1988,15,February,1988,GK,105,0,Roma,Italy
755,Diogo,Dalot,"Dalot, Diogo",18 March 1999,18,March,1999,DF,7,2,Manchester United,England
756,Pepe,N/A,Pepe,26 February 1983,26,February,1983,DF,129,7,Porto,Portugal
757,Ruben,Dias,"Dias, Ruben",14 May 1997,14,May,1997,DF,40,2,Manchester City,England
758,Raphael,Guerreiro,"Guerreiro, Raphael",22 December 1993,22,December,1993,DF,57,3,Borussia Dortmund,Germany
759,Joao,Palhinha,"Palhinha, Joao",9 July 1995,9,July,1995,MF,15,2,Fulham,England
760,Cristiano,Ronaldo,"Ronaldo, Cristiano",5 February 1985,5,February,1985,FW,191,117,Manchester United,England
761,Bruno,Fernandes,"Fernandes, Bruno",8 September 1994,8,September,1994,MF,49,11,Manchester United,England
762,Andre,Silva,"Silva, Andre",6 November 1995,6,November,1995,FW,52,19,RB Leipzig,Germany
763,Bernardo,Silva,"Silva, Bernardo",10 August 1994,10,August,1994,FW,73,8,Manchester City,England
764,Joao,Felix,"Felix, Joao",10 November 1999,10,November,1999,FW,24,3,Atlético Madrid,Spain
765,Jose,Sa,"Sa, Jose",17 January 1993,17,January,1993,GK,0,0,Wolverhampton Wanderers,England
766,Danilo,Pereira,"Pereira, Danilo",9 September 1991,9,September,1991,DF,63,2,Paris Saint-Germain,France
767,William,Carvalho,"Carvalho, William",7 April 1992,7,April,1992,MF,76,5,Real Betis,Spain
768,Rafael,Leao,"Leao, Rafael",10 June 1999,10,June,1999,FW,11,0,Milan,Italy
769,Vitinha,N/A,Vitinha,13 February 2000,13,February,2000,MF,5,0,Paris Saint-Germain,France
770,Joao Mario,N/A,Joao Mario,19 January 1993,19,January,1993,MF,53,3,Benfica,Portugal
771,Ruben,Neves,"Neves, Ruben",13 March 1997,13,March,1997,MF,32,0,Wolverhampton Wanderers,England
772,Nuno,Mendes,"Mendes, Nuno",19 June 2002,19,June,2002,DF,17,0,Paris Saint-Germain,France
773,Joao,Cancelo,"Cancelo, Joao",27 May 1994,27,May,1994,DF,37,7,Manchester City,England
774,Ricardo,Horta,"Horta, Ricardo",15 September 1994,15,September,1994,FW,6,1,Braga,Portugal
775,Diogo,Costa,"Costa, Diogo",19 September 1999,19,September,1999,GK,7,0,Porto,Portugal
776,Matheus,Nunes,"Nunes, Matheus",27 August 1998,27,August,1998,MF,9,1,Wolverhampton Wanderers,England
777,Antonio,Silva,"Silva, Antonio",30 October 2003,30,October,2003,DF,1,0,Benfica,Portugal
778,Otavio,N/A,Otavio,9 February 1995,9,February,1995,MF,8,2,Porto,Portugal
779,Goncalo,Ramos,"Ramos, Goncalo",20 June 2001,20,June,2001,FW,1,1,Benfica,Portugal
780,Seung-gyu,Kim,"Kim, Seung-gyu",30 September 1990,30,September,1990,GK,67,0,Al-Shabab,Saudi Arabia
781,Jong-gyu,Yoon,"Yoon, Jong-gyu",20 March 1998,20,March,1998,DF,4,0,FC Seoul,South Korea
782,Jin-su,Kim,"Kim, Jin-su",13 June 1992,13,June,1992,DF,61,2,Jeonbuk Hyundai Motors,South Korea
783,Min-jae,Kim,"Kim, Min-jae",15 November 1996,15,November,1996,DF,44,3,Napoli,Italy
784,Woo-young,Jung,"Jung, Woo-young",14 December 1989,14,December,1989,MF,66,3,Al-Sadd,Qatar
785,In-beom,Hwang,"Hwang, In-beom",20 September 1996,20,September,1996,MF,37,4,Olympiacos,Greece
786,Heung-min,Son,"Son, Heung-min",8 July 1992,8,July,1992,MF,104,35,Tottenham Hotspur,England
787,Seung-ho,Paik,"Paik, Seung-ho",17 March 1997,17,March,1997,MF,14,2,Jeonbuk Hyundai Motors,South Korea
788,Gue-sung,Cho,"Cho, Gue-sung",25 January 1998,25,January,1998,FW,16,4,Jeonbuk Hyundai Motors,South Korea
789,Jae-sung,Lee,"Lee, Jae-sung",10 August 1992,10,August,1992,MF,64,9,Mainz 05,Germany
790,Hee-chan,Hwang,"Hwang, Hee-chan",26 January 1996,26,January,1996,MF,49,9,Wolverhampton Wanderers,England
791,Bum-keun,Song,"Song, Bum-keun",15 October 1997,15,October,1997,GK,1,0,Jeonbuk Hyundai Motors,South Korea
792,Jun-ho,Son,"Son, Jun-ho",12 May 1992,12,May,1992,MF,15,0,Shandong Taishan,China
793,Chul,Hong,"Hong, Chul",17 September 1990,17,September,1990,DF,46,1,Daegu FC,South Korea
794,Moon-hwan,Kim,"Kim, Moon-hwan",1 August 1995,1,August,1995,DF,22,0,Jeonbuk Hyundai Motors,South Korea
795,Ui-jo,Hwang,"Hwang, Ui-jo",28 August 1992,28,August,1992,FW,49,16,Olympiacos,Greece
796,Sang-ho,Na,"Na, Sang-ho",12 August 1996,12,August,1996,MF,24,2,FC Seoul,South Korea
797,Kang-in,Lee,"Lee, Kang-in",19 February 2001,19,February,2001,MF,6,0,Mallorca,Spain
798,Young-gwon,Kim,"Kim, Young-gwon",27 February 1990,27,February,1990,DF,96,6,Ulsan Hyundai,South Korea
799,Kyung-won,Kwon,"Kwon, Kyung-won",31 January 1992,31,January,1992,DF,28,2,Gamba Osaka,Japan
800,Hyeon-woo,Jo,"Jo, Hyeon-woo",25 September 1991,25,September,1991,GK,22,0,Ulsan Hyundai,South Korea
801,Chang-hoon,Kwon,"Kwon, Chang-hoon",30 June 1994,30,June,1994,MF,42,12,Gimcheon Sangmu,South Korea
802,Tae-hwan,Kim,"Kim, Tae-hwan",24 July 1989,24,July,1989,DF,19,0,Ulsan Hyundai,South Korea
803,Yu-min,Cho,"Cho, Yu-min",17 November 1996,17,November,1996,DF,4,0,Daejeon Hana Citizen,South Korea
804,Woo-yeong,Jeong,"Jeong, Woo-yeong",20 September 1999,20,September,1999,MF,9,2,SC Freiburg,Germany
805,Min-kyu,Song,"Song, Min-kyu",12 September 1999,12,September,1999,MF,13,1,Jeonbuk Hyundai Motors,South Korea
806,Fernando,Muslera,"Muslera, Fernando",16 June 1986,16,June,1986,GK,133,0,Galatasaray,Turkey
807,Jose,Gimenez,"Gimenez, Jose",20 January 1995,20,January,1995,DF,78,8,Atlético Madrid,Spain
808,Diego,Godin,"Godin, Diego",16 February 1986,16,February,1986,DF,159,8,Vélez Sarsfield,Argentina
809,Ronald,Araujo,"Araujo, Ronald",7 March 1999,7,March,1999,DF,12,0,Barcelona,Spain
810,Matias,Vecino,"Vecino, Matias",24 August 1991,24,August,1991,MF,62,4,Lazio,Italy
811,Rodrigo,Bentancur,"Bentancur, Rodrigo",25 June 1997,25,June,1997,MF,51,1,Tottenham Hotspur,England
812,Nicolas de la,Cruz,"Cruz, Nicolas de la",1 June 1997,1,June,1997,MF,17,2,River Plate,Argentina
813,Facundo,Pellistri,"Pellistri, Facundo",20 December 2001,20,December,2001,FW,7,0,Manchester United,England
814,Luis,Suarez,"Suarez, Luis",24 January 1987,24,January,1987,FW,134,68,Nacional,Uruguay
815,Giorgian de,Arrascaeta,"Arrascaeta, Giorgian de",1 June 1994,1,June,1994,MF,40,8,Flamengo,Brazil
816,Darwin,Nunez,"Nunez, Darwin",24 June 1999,24,June,1999,FW,13,3,Liverpool,England
817,Sebastian,Sosa,"Sosa, Sebastian",19 August 1986,19,August,1986,GK,1,0,Independiente,Argentina
818,Guillermo,Varela,"Varela, Guillermo",24 March 1993,24,March,1993,DF,9,0,Flamengo,Brazil
819,Lucas,Torreira,"Torreira, Lucas",11 February 1996,11,February,1996,MF,40,0,Galatasaray,Turkey
820,Federico,Valverde,"Valverde, Federico",22 July 1998,22,July,1998,MF,44,4,Real Madrid,Spain
821,Mathias,Olivera,"Olivera, Mathias",31 October 1997,31,October,1997,DF,8,0,Napoli,Italy
822,Matias,Vina,"Vina, Matias",9 November 1997,9,November,1997,DF,26,0,Roma,Italy
823,Maxi,Gomez,"Gomez, Maxi",14 August 1996,14,August,1996,FW,27,4,Trabzonspor,Turkey
824,Sebastian,Coates,"Coates, Sebastian",7 October 1990,7,October,1990,DF,47,1,Sporting CP,Portugal
825,Facundo,Torres,"Torres, Facundo",13 April 2000,13,April,2000,FW,10,0,Orlando City SC,United States
826,Edinson,Cavani,"Cavani, Edinson",14 February 1987,14,February,1987,FW,133,58,Valencia,Spain
827,Martin,Caceres,"Caceres, Martin",7 April 1987,7,April,1987,DF,115,4,LA Galaxy,United States
828,Sergio,Rochet,"Rochet, Sergio",23 March 1993,23,March,1993,GK,8,0,Nacional,Uruguay
829,Agustin,Canobbio,"Canobbio, Agustin",1 October 1998,1,October,1998,MF,3,0,Athletico Paranaense,Brazil
830,Manuel,Ugarte,"Ugarte, Manuel",11 April 2001,11,April,2001,MF,6,0,Sporting CP,Portugal
831,Jose Luis,Rodriguez,"Rodriguez, Jose Luis",14 March 1997,14,March,1997,DF,0,0,Nacional,Uruguay
