No,First Name,Other Names,Full Name,DOB,Day of Birth,Month of Birth,Year of Birth,Age,Position,Nationality,International Caps,International Goals,Club,League,Club Country
572,Dominik,Livakovic,"Livakovic, Dominik",9-Jan-95,9,January,1995,27,GK,Croatia,34,0,Dinamo Zagreb,Croatian Prva HNL,Croatia
573,Josip,Stanisic,"Stanisic, Josip",2-Apr-00,2,April,2000,22,DF,Croatia,7,0,Bayern Munich,German 1. Bundesliga,Germany
574,Borna,Barisic,"Barisic, Borna",10-Nov-92,10,November,1992,30,DF,Croatia,28,1,Rangers,Scotland Premeir League,Scotland
575,Ivan,Perisic,"Perisic, Ivan",2-Feb-89,2,February,1989,33,FW,Croatia,116,32,Tottenham Hotspur,English Premier League,England
576,Martin,Erlic,"Erlic, Martin",24-Jan-98,24,January,1998,24,DF,Croatia,4,0,Sassuolo,Italy Premeir League,Italy
577,Dejan,Lovren,"Lovren, Dejan",5-Jul-89,5,July,1989,33,DF,Croatia,72,5,Zenit Saint Petersburg,Russia Premeir League,Russia
578,Lovro,Majer,"Majer, Lovro",17-Jan-98,17,January,1998,24,MF,Croatia,11,3,Rennes,France Premeir League,France
579,Mateo,Kovacic,"Kovacic, Mateo",6-May-94,6,May,1994,28,MF,Croatia,84,3,Chelsea,English Premier League,England
580,Andrej,Kramaric,"Kramaric, Andrej",19-Jun-91,19,June,1991,31,FW,Croatia,74,20,1899 Hoffenheim,Germany Premeir League,Germany
581,Luka,Modric,"Modric, Luka",9-Sep-85,9,September,1985,37,MF,Croatia,155,23,Real Madrid,Spain Primera Division,Spain
582,Marcelo,Brozovic,"Brozovic, Marcelo",16-Nov-92,16,November,1992,30,MF,Croatia,77,7,Internazionale,Italian Serie A,Italy
583,Ivo,Grbic,"Grbic, Ivo",18-Jan-96,18,January,1996,26,GK,Croatia,2,0,Atlético Madrid,Spain Primera Division,Spain
584,Nikola,Vlasic,"Vlasic, Nikola",4-Oct-97,4,October,1997,25,MF,Croatia,42,7,Torino,Italian Serie A,Italy
585,Marko,Livaja,"Livaja, Marko",26-Aug-93,26,August,1993,29,FW,Croatia,14,3,Hajduk Split,Croatian Prva HNL,Croatia
586,Mario,Pasalic,"Pasalic, Mario",9-Feb-95,9,February,1995,27,MF,Croatia,43,7,Atalanta,Italian Serie A,Italy
587,Bruno,Petkovic,"Petkovic, Bruno",16-Sep-94,16,September,1994,28,FW,Croatia,23,6,Dinamo Zagreb,Croatian Prva HNL,Croatia
588,Ante,Budimir,"Budimir, Ante",22-Jul-91,22,July,1991,31,FW,Croatia,15,1,Osasuna,Spain Premeir League,Spain
589,Mislav,Orsic,"Orsic, Mislav",29-Dec-92,29,December,1992,29,FW,Croatia,21,1,Dinamo Zagreb,Croatian Prva HNL,Croatia
590,Borna,Sosa,"Sosa, Borna",21-Jan-98,21,January,1998,24,DF,Croatia,8,1,VfB Stuttgart,German 1. Bundesliga,Germany
591,Josko,Gvardiol,"Gvardiol, Josko",23-Jan-02,23,January,2002,20,DF,Croatia,12,1,RB Leipzig,German 1. Bundesliga,Germany
592,Domagoj,Vida,"Vida, Domagoj",29-Apr-89,29,April,1989,33,DF,Croatia,100,4,AEK Athens,Greek Super League,Greece
593,Josip,Juranovic,"Juranovic, Josip",16-Aug-95,16,August,1995,27,DF,Croatia,21,0,Celtic,Scottish Premiership,Scotland
594,Ivica,Ivusic,"Ivusic, Ivica",1-Feb-95,1,February,1995,27,GK,Croatia,5,0,Osijek,Croatia Premeir League,Croatia
595,Josip,Sutalo,"Sutalo, Josip",28-Feb-00,28,February,2000,22,DF,Croatia,3,0,Dinamo Zagreb,Croatian Prva HNL,Croatia
596,Luka,Sucic,"Sucic, Luka",8-Sep-02,8,September,2002,20,MF,Croatia,4,0,Red Bull Salzburg,Austria Premeir League,Austria
597,Kristijan,Jakic,"Jakic, Kristijan",14-May-97,14,May,1997,25,MF,Croatia,4,0,Eintracht Frankfurt,German 1. Bundesliga,Germany
598,Yassine,Bounou,"Bounou, Yassine",5-Apr-91,5,April,1991,31,GK,Morocco,46,0,Sevilla,Spain Primera Division,Spain
599,Achraf,Hakimi,"Hakimi, Achraf",4-Nov-98,4,November,1998,24,DF,Morocco,54,8,Paris Saint-Germain,French Ligue 1,France
600,Noussair,Mazraoui,"Mazraoui, Noussair",14-Nov-97,14,November,1997,25,DF,Morocco,15,2,Bayern Munich,German 1. Bundesliga,Germany
601,Sofyan,Amrabat,"Amrabat, Sofyan",21-Aug-96,21,August,1996,26,MF,Morocco,39,0,Fiorentina,Italian Serie A,Italy
602,Nayef,Aguerd,"Aguerd, Nayef",30-Mar-96,30,March,1996,26,DF,Morocco,22,1,West Ham United,English Premier League,England
603,Romain,Saiss,"Saiss, Romain",26-Mar-90,26,March,1990,32,DF,Morocco,66,1,Beşiktaş,Turkish Süper Lig,Turkey
604,Hakim,Ziyech,"Ziyech, Hakim",19-Mar-93,19,March,1993,29,MF,Morocco,43,18,Chelsea,English Premier League,England
605,Azzedine,Ounahi,"Ounahi, Azzedine",19-Apr-00,19,April,2000,22,MF,Morocco,10,2,Angers,France Premeir League,France
606,Abderrazak,Hamdallah,"Hamdallah, Abderrazak",17-Dec-90,17,December,1990,31,FW,Morocco,18,6,Al-Ittihad,Saudi Arabia Premeir League,Saudi Arabia
607,Anass,Zaroury,"Zaroury, Anass",7-Nov-00,7,November,2000,22,MF,Morocco,1,0,Burnley,English Premier League,England
608,Abdelhamid,Sabiri,"Sabiri, Abdelhamid",28-Nov-96,28,November,1996,26,FW,Morocco,2,1,Sampdoria,Italy Premeir League,Italy
609,Munir,Mohamedi,"Mohamedi, Munir",10-May-89,10,May,1989,33,GK,Morocco,43,0,Al-Wehda,Saudi Arabia Premeir League,Saudi Arabia
610,Ilias,Chair,"Chair, Ilias",30-Oct-97,30,October,1997,25,MF,Morocco,11,1,Queens Park Rangers,English League Championship,England
611,Zakaria,Aboukhlal,"Aboukhlal, Zakaria",18-Feb-00,18,February,2000,22,MF,Morocco,12,2,Toulouse,France Premeir League,France
612,Selim,Amallah,"Amallah, Selim",15-Nov-96,15,November,1996,26,MF,Morocco,24,4,Standard Liège,Belgium Premeir League,Belgium
613,Abde,Ezzalzouli,"Ezzalzouli, Abde",17-Dec-01,17,December,2001,20,FW,Morocco,2,0,Osasuna,Spain Premeir League,Spain
614,Sofiane,Boufal,"Boufal, Sofiane",17-Sep-93,17,September,1993,29,MF,Morocco,32,6,Angers,France Premeir League,France
615,Jawad,Yamiq,"Yamiq, Jawad",29-Feb-92,29,February,1992,30,DF,Morocco,12,2,Valladolid,Spanish Segunda División,Spain
616,Youssef,En-Nesyri,"En-Nesyri, Youssef",1-Jun-97,1,June,1997,25,FW,Morocco,50,15,Sevilla,Spain Primera Division,Spain
617,Achraf,Dari,"Dari, Achraf",6-May-99,6,May,1999,23,DF,Morocco,4,0,Brest,France Premeir League,France
618,Walid,Cheddira,"Cheddira, Walid",22-Jan-98,22,January,1998,24,FW,Morocco,2,0,Bari,Italy Premeir League,Italy
619,Ahmed Reda,Tagnaouti,"Tagnaouti, Ahmed Reda",5-Apr-96,5,April,1996,26,GK,Morocco,3,0,Wydad AC,Morocco Premeir League,Morocco
620,Bilal,Khannous,"Khannous, Bilal",10-May-04,10,May,2004,18,MF,Morocco,0,0,Genk,Belgian Jupiler Pro League,Belgium
621,Badr,Benoun,"Benoun, Badr",30-Sep-93,30,September,1993,29,DF,Morocco,3,0,Qatar SC,Qatar Premeir League,Qatar
622,Yahia,Attiyat Allah,"Attiyat Allah, Yahia",2-Mar-95,2,March,1995,27,DF,Morocco,2,0,Wydad AC,Morocco Premeir League,Morocco
623,Yahya,Jabrane,"Jabrane, Yahya",18-Jun-91,18,June,1991,31,MF,Morocco,5,0,Wydad AC,Morocco Premeir League,Morocco
624,Alisson,,Alisson,2-Oct-92,2,October,1992,30,GK,Brazil,57,0,Liverpool,English Premier League,England
625,Danilo,,Danilo,15-Jul-91,15,July,1991,31,DF,Brazil,46,1,Juventus,Italian Serie A,Italy
626,Thiago,Silva,"Silva, Thiago",22-Sep-84,22,September,1984,38,DF,Brazil,109,7,Chelsea,English Premier League,England
627,Marquinhos,,Marquinhos,14-May-94,14,May,1994,28,DF,Brazil,71,5,Paris Saint-Germain,French Ligue 1,France
628,Casemiro,,Casemiro,23-Feb-92,23,February,1992,30,MF,Brazil,65,5,Manchester United,English Premier League,England
629,Alex Sandro,,Alex Sandro,26-Jan-91,26,January,1991,31,DF,Brazil,37,2,Juventus,Italian Serie A,Italy
630,Lucas,Paqueta,"Paqueta, Lucas",27-Aug-97,27,August,1997,25,MF,Brazil,35,7,West Ham United,English Premier League,England
631,Fred,,Fred,5-Mar-93,5,March,1993,29,MF,Brazil,28,0,Manchester United,English Premier League,England
632,Richarlison,,Richarlison,10-May-97,10,May,1997,25,FW,Brazil,38,17,Tottenham Hotspur,English Premier League,England
633,Neymar,,Neymar,5-Feb-92,5,February,1992,30,FW,Brazil,121,75,Paris Saint-Germain,French Ligue 1,France
634,Raphinha,,Raphinha,14-Dec-96,14,December,1996,25,FW,Brazil,11,5,Barcelona,Spain Primera Division,Spain
635,Weverton,,Weverton,13-Dec-87,13,December,1987,34,GK,Brazil,8,0,Palmeiras,Campeonato Brasileiro Série A,Brazil
636,Dani,Alves,"Alves, Dani",6-May-83,6,May,1983,39,DF,Brazil,124,8,UNAM,Mexico Premeir League,Mexico
637,Eder,Militao,"Militao, Eder",18-Jan-98,18,January,1998,24,DF,Brazil,23,1,Real Madrid,Spain Primera Division,Spain
638,Fabinho,,Fabinho,23-Oct-93,23,October,1993,29,MF,Brazil,28,0,Liverpool,English Premier League,England
639,Alex,Telles,"Telles, Alex",15-Dec-92,15,December,1992,29,DF,Brazil,8,0,Sevilla,Spain Primera Division,Spain
640,Bruno,Guimaraes,"Guimaraes, Bruno",16-Nov-97,16,November,1997,25,MF,Brazil,8,1,Newcastle United,English Premier League,England
641,Gabriel,Jesus,"Jesus, Gabriel",3-Apr-97,3,April,1997,25,FW,Brazil,56,19,Arsenal,English Premier League,England
642,Antony,,Antony,24-Feb-00,24,February,2000,22,FW,Brazil,11,2,Manchester United,English Premier League,England
643,Vinicius Junior,,Vinicius Junior,12-Jul-00,12,July,2000,22,FW,Brazil,16,1,Real Madrid,Spain Primera Division,Spain
644,Rodrygo,,Rodrygo,9-Jan-01,9,January,2001,21,FW,Brazil,7,1,Real Madrid,Spain Primera Division,Spain
645,Everton,Ribeiro,"Ribeiro, Everton",10-Apr-89,10,April,1989,33,MF,Brazil,21,3,Flamengo,Campeonato Brasileiro Série A,Brazil
646,Ederson,,Ederson,17-Aug-93,17,August,1993,29,GK,Brazil,18,0,Manchester City,English Premier League,England
647,Bremer,,Bremer,18-Mar-97,18,March,1997,25,DF,Brazil,1,0,Juventus,Italian Serie A,Italy
648,Pedro,,Pedro,20-Jun-97,20,June,1997,25,FW,Brazil,2,1,Flamengo,Campeonato Brasileiro Série A,Brazil
649,Gabriel,Martinelli,"Martinelli, Gabriel",18-Jun-01,18,June,2001,21,FW,Brazil,3,0,Arsenal,English Premier League,England
650,Simon,Ngapandouetnbu,"Ngapandouetnbu, Simon",12-Apr-03,12,April,2003,19,GK,Cameroon,0,0,Marseille,France Premeir League,France
651,Jerome,Ngom Mbekeli,"Ngom Mbekeli, Jerome",30-Sep-98,30,September,1998,24,DF,Cameroon,2,0,Colombe Sportive,Cameroon Premeir League,Cameroon
652,Nicolas,Nkoulou,"Nkoulou, Nicolas",27-Mar-90,27,March,1990,32,DF,Cameroon,79,2,Aris,Greece Premeir League,Greece
653,Christopher,Wooh,"Wooh, Christopher",18-Sep-01,18,September,2001,21,DF,Cameroon,4,0,Rennes,France Premeir League,France
654,Gael,Ondoua,"Ondoua, Gael",4-Nov-95,4,November,1995,27,MF,Cameroon,4,0,Hannover 96,German 2. Bundesliga,Germany
655,Moumi,Ngamaleu,"Ngamaleu, Moumi",9-Jul-94,9,July,1994,28,FW,Cameroon,42,4,Dynamo Moscow,Russia Premeir League,Russia
656,Georges-Kevin,Nkoudou,"Nkoudou, Georges-Kevin",13-Feb-95,13,February,1995,27,MF,Cameroon,3,0,Beşiktaş,Turkish Süper Lig,Turkey
657,Andre-Frank,Zambo Anguissa,"Zambo Anguissa, Andre-Frank",16-Nov-95,16,November,1995,27,MF,Cameroon,44,5,Napoli,Italian Serie A,Italy
658,Jean-Pierre,Nsame,"Nsame, Jean-Pierre",1-May-93,1,May,1993,29,FW,Cameroon,4,0,Young Boys,Switzerland Premeir League,Switzerland
659,Vincent,Aboubakar,"Aboubakar, Vincent",22-Jan-92,22,January,1992,30,FW,Cameroon,92,33,Al-Nassr,Saudi Arabia Premeir League,Saudi Arabia
660,Christian,Bassogog,"Bassogog, Christian",18-Oct-95,18,October,1995,27,FW,Cameroon,44,7,Shanghai Shenhua,China Premeir League,China
661,Karl,Toko Ekambi,"Toko Ekambi, Karl",14-Sep-92,14,September,1992,30,FW,Cameroon,52,12,Lyon,France Premeir League,France
662,Eric Maxim,Choupo-Moting,"Choupo-Moting, Eric Maxim",23-Mar-89,23,March,1989,33,FW,Cameroon,70,20,Bayern Munich,German 1. Bundesliga,Germany
663,Samuel,Gouet,"Gouet, Samuel",14-Dec-97,14,December,1997,24,MF,Cameroon,22,0,Mechelen,Belgium Premeir League,Belgium
664,Pierre,Kunde,"Kunde, Pierre",26-Jul-95,26,July,1995,27,MF,Cameroon,33,1,Olympiacos,Greece Premeir League,Greece
665,Devis,Epassy,"Epassy, Devis",2-Feb-93,2,February,1993,29,GK,Cameroon,5,0,Abha,Saudi Arabia Premeir League,Saudi Arabia
666,Olivier,Mbaizo,"Mbaizo, Olivier",15-Aug-97,15,August,1997,25,DF,Cameroon,11,0,Philadelphia Union,USA Major League Soccer,United States
667,Martin,Hongla,"Hongla, Martin",16-Mar-98,16,March,1998,24,MF,Cameroon,20,0,Hellas Verona,Italian Serie A,Italy
668,Collins,Fai,"Fai, Collins",13-Aug-92,13,August,1992,30,DF,Cameroon,53,0,Al-Tai,Saudi Arabia Premeir League,Saudi Arabia
669,Bryan,Mbeumo,"Mbeumo, Bryan",7-Aug-99,7,August,1999,23,FW,Cameroon,4,0,Brentford,English Premier League,England
670,Jean-Charles,Castelletto,"Castelletto, Jean-Charles",26-Jan-95,26,January,1995,27,DF,Cameroon,15,0,Nantes,France Premeir League,France
671,Olivier,Ntcham,"Ntcham, Olivier",9-Feb-96,9,February,1996,26,MF,Cameroon,4,0,Swansea City,English League Championship,Wales
672,Andre,Onana,"Onana, Andre",2-Apr-96,2,April,1996,26,GK,Cameroon,34,0,Internazionale,Italy Premeir League,Italy
673,Enzo,Ebosse,"Ebosse, Enzo",11-Mar-99,11,March,1999,23,DF,Cameroon,3,0,Udinese,Italy Premeir League,Italy
674,Nouhou,Tolo,"Tolo, Nouhou",23-Jun-97,23,June,1997,25,DF,Cameroon,19,0,Seattle Sounders FC,USA Major League Soccer,United States
675,Souaibou,Marou,"Marou, Souaibou",3-Dec-00,3,December,2000,21,MF,Cameroon,3,1,Coton Sport,Cameroon Premeir League,Cameroon
676,Marko,Dmitrovic,"Dmitrovic, Marko",24-Jan-92,24,January,1992,30,GK,Serbia,19,0,Sevilla,Spain Premeir League,Spain
677,Strahinja,Pavlovic,"Pavlovic, Strahinja",24-May-01,24,May,2001,21,DF,Serbia,22,1,Red Bull Salzburg,Austria Premeir League,Austria
678,Strahinja,Erakovic,"Erakovic, Strahinja",22-Jan-01,22,January,2001,21,DF,Serbia,2,0,Red Star Belgrade,Serbia Premeir League,Serbia
679,Nikola,Milenkovic,"Milenkovic, Nikola",12-Oct-97,12,October,1997,25,DF,Serbia,39,3,Fiorentina,Italian Serie A,Italy
680,Milos,Veljkovic,"Veljkovic, Milos",26-Sep-95,26,September,1995,27,DF,Serbia,21,0,Werder Bremen,Germany Premeir League,Germany
681,Nemanja,Maksimovic,"Maksimovic, Nemanja",26-Jan-95,26,January,1995,27,MF,Serbia,40,0,Getafe,Spain Premeir League,Spain
682,Nemanja,Radonjic,"Radonjic, Nemanja",15-Feb-96,15,February,1996,26,FW,Serbia,36,5,Torino,Italy Premeir League,Italy
683,Nemanja,Gudelj,"Gudelj, Nemanja",16-Nov-91,16,November,1991,31,MF,Serbia,49,1,Sevilla,Spain Primera Division,Spain
684,Aleksandar,Mitrovic,"Mitrovic, Aleksandar",16-Sep-94,16,September,1994,28,FW,Serbia,76,50,Fulham,English League Championship,England
685,Dusan,Tadic,"Tadic, Dusan",20-Nov-88,20,November,1988,34,FW,Serbia,91,20,Ajax,Holland Eredivisie,Netherlands
686,Luka,Jovic,"Jovic, Luka",23-Dec-97,23,December,1997,24,FW,Serbia,29,10,Fiorentina,Italian Serie A,Italy
687,Predrag,Rajkovic,"Rajkovic, Predrag",31-Oct-95,31,October,1995,27,GK,Serbia,28,0,Mallorca,Spain Premeir League,Spain
688,Stefan,Mitrovic,"Mitrovic, Stefan",22-May-90,22,May,1990,32,DF,Serbia,35,0,Getafe,Spain Premeir League,Spain
689,Andrija,Zivkovic,"Zivkovic, Andrija",11-Jul-96,11,July,1996,26,MF,Serbia,29,1,PAOK,Greek Super League,Greece
690,Srdjan,Babic,"Babic, Srdjan",22-Apr-96,22,April,1996,26,DF,Serbia,2,0,Almería,Spain Premeir League,Spain
691,Sasa,Lukic,"Lukic, Sasa",13-Aug-96,13,August,1996,26,MF,Serbia,32,2,Torino,Italy Premeir League,Italy
692,Filip,Kostic,"Kostic, Filip",1-Nov-92,1,November,1992,30,MF,Serbia,50,3,Juventus,Italian Serie A,Italy
693,Dusan,Vlahovic,"Vlahovic, Dusan",28-Jan-00,28,January,2000,22,FW,Serbia,17,9,Juventus,Italian Serie A,Italy
694,Uros,Racic,"Racic, Uros",17-Mar-98,17,March,1998,24,MF,Serbia,9,0,Braga,Portugal Premeir League,Portugal
695,Sergej,Milinkovic-Savic,"Milinkovic-Savic, Sergej",27-Feb-95,27,February,1995,27,MF,Serbia,36,6,Lazio,Italian Serie A,Italy
696,Filip,Djuricic,"Djuricic, Filip",30-Jan-92,30,January,1992,30,FW,Serbia,37,5,Sampdoria,Italy Premeir League,Italy
697,Darko,Lazovic,"Lazovic, Darko",15-Sep-90,15,September,1990,32,MF,Serbia,26,1,Hellas Verona,Italian Serie A,Italy
698,Vanja,Milinkovic-Savic,"Milinkovic-Savic, Vanja",20-Feb-97,20,February,1997,25,GK,Serbia,7,0,Torino,Italy Premeir League,Italy
699,Ivan,Ilic,"Ilic, Ivan",17-Mar-01,17,March,2001,21,MF,Serbia,6,0,Hellas Verona,Italian Serie A,Italy
700,Filip,Mladenovic,"Mladenovic, Filip",15-Aug-91,15,August,1991,31,DF,Serbia,20,1,Legia Warsaw,Poland Premeir League,Poland
701,Marko,Grujic,"Grujic, Marko",13-Apr-96,13,April,1996,26,MF,Serbia,18,0,Porto,Portugal Premeir League,Portugal
702,Yann,Sommer,"Sommer, Yann",17-Dec-88,17,December,1988,33,GK,Switzerland,77,0,Borussia Mönchengladbach,German 1. Bundesliga,Germany
703,Edimilson,Fernandes,"Fernandes, Edimilson",15-Apr-96,15,April,1996,26,DF,Switzerland,22,2,Mainz 05,Germany Premeir League,Germany
704,Silvan,Widmer,"Widmer, Silvan",5-Mar-93,5,March,1993,29,DF,Switzerland,34,2,Mainz 05,Germany Premeir League,Germany
705,Nico,Elvedi,"Elvedi, Nico",30-Sep-96,30,September,1996,26,DF,Switzerland,41,1,Borussia Mönchengladbach,German 1. Bundesliga,Germany
706,Manuel,Akanji,"Akanji, Manuel",19-Jul-95,19,July,1995,27,DF,Switzerland,43,1,Manchester City,English Premier League,England
707,Denis,Zakaria,"Zakaria, Denis",20-Nov-96,20,November,1996,26,MF,Switzerland,43,3,Chelsea,English Premier League,England
708,Breel,Embolo,"Embolo, Breel",14-Feb-97,14,February,1997,25,FW,Switzerland,59,11,Monaco,French Ligue 1,France
709,Remo,Freuler,"Freuler, Remo",15-Apr-92,15,April,1992,30,MF,Switzerland,49,5,Nottingham Forest,English League Championship,England
710,Haris,Seferovic,"Seferovic, Haris",22-Feb-92,22,February,1992,30,FW,Switzerland,89,25,Galatasaray,Turkey Premeir League,Turkey
711,Granit,Xhaka,"Xhaka, Granit",27-Sep-92,27,September,1992,30,MF,Switzerland,107,12,Arsenal,English Premier League,England
712,Renato,Steffen,"Steffen, Renato",3-Nov-91,3,November,1991,31,DF,Switzerland,28,1,Lugano,Switzerland Premeir League,Switzerland
713,Jonas,Omlin,"Omlin, Jonas",10-Jan-94,10,January,1994,28,GK,Switzerland,4,0,Montpellier,France Premeir League,France
714,Ricardo,Rodriguez,"Rodriguez, Ricardo",25-Aug-92,25,August,1992,30,DF,Switzerland,100,9,Torino,Italy Premeir League,Italy
715,Michel,Aebischer,"Aebischer, Michel",6-Jan-97,6,January,1997,25,MF,Switzerland,12,0,Bologna,Italian Serie A,Italy
716,Djibril,Sow,"Sow, Djibril",6-Feb-97,6,February,1997,25,MF,Switzerland,32,0,Eintracht Frankfurt,German 1. Bundesliga,Germany
717,Christian,Fassnacht,"Fassnacht, Christian",11-Nov-93,11,November,1993,29,MF,Switzerland,16,4,Young Boys,Switzerland Premeir League,Switzerland
718,Ruben,Vargas,"Vargas, Ruben",5-Aug-98,5,August,1998,24,FW,Switzerland,27,4,FC Augsburg,German 1. Bundesliga,Germany
719,Eray,Comert,"Comert, Eray",4-Feb-98,4,February,1998,24,DF,Switzerland,10,0,Valencia,Spain Premeir League,Spain
720,Noah,Okafor,"Okafor, Noah",24-May-00,24,May,2000,22,FW,Switzerland,9,2,Red Bull Salzburg,Austria Premeir League,Austria
721,Fabian,Frei,"Frei, Fabian",8-Jan-89,8,January,1989,33,MF,Switzerland,22,3,Basel,Switzerland Premeir League,Switzerland
722,Gregor,Kobel,"Kobel, Gregor",6-Dec-97,6,December,1997,24,GK,Switzerland,3,0,Borussia Dortmund,German 1. Bundesliga,Germany
723,Fabian,Schar,"Schar, Fabian",20-Dec-91,20,December,1991,30,DF,Switzerland,73,8,Newcastle United,English Premier League,England
724,Xherdan,Shaqiri,"Shaqiri, Xherdan",10-Oct-91,10,October,1991,31,MF,Switzerland,109,26,Chicago Fire FC,United States Premeir League,United States
725,Philipp,Kohn,"Kohn, Philipp",2-Apr-98,2,April,1998,24,GK,Switzerland,0,0,Red Bull Salzburg,Austria Premeir League,Austria
726,Fabian,Rieder,"Rieder, Fabian",16-Feb-02,16,February,2002,20,MF,Switzerland,0,0,Young Boys,Switzerland Premeir League,Switzerland
727,Ardon,Jashari,"Jashari, Ardon",30-Jul-02,30,July,2002,20,MF,Switzerland,1,0,Luzern,Switzerland Premeir League,Switzerland
728,Lawrence,Ati-Zigi,"Ati-Zigi, Lawrence",29-Nov-96,29,November,1996,26,GK,Ghana,11,0,St. Gallen,Switzerland Premeir League,Switzerland
729,Tariq,Lamptey,"Lamptey, Tariq",30-Sep-00,30,September,2000,22,DF,Ghana,2,0,Brighton & Hove Albion,English Premier League,England
730,Denis,Odoi,"Odoi, Denis",27-May-88,27,May,1988,34,DF,Ghana,4,0,Club Brugge,Belgian Jupiler Pro League,Belgium
731,Mohammed,Salisu,"Salisu, Mohammed",17-Apr-99,17,April,1999,23,DF,Ghana,3,1,Southampton,English Premier League,England
732,Thomas,Partey,"Partey, Thomas",13-Jun-93,13,June,1993,29,MF,Ghana,40,13,Arsenal,English Premier League,England
733,Elisha,Owusu,"Owusu, Elisha",7-Nov-97,7,November,1997,25,MF,Ghana,3,0,Gent,Belgium Premeir League,Belgium
734,Abdul Fatawu,Issahaku,"Issahaku, Abdul Fatawu",8-Mar-04,8,March,2004,18,MF,Ghana,13,1,Sporting CP,Portuguese Liga ZON SAGRES,Portugal
735,Daniel-Kofi,Kyereh,"Kyereh, Daniel-Kofi",8-Mar-96,8,March,1996,26,MF,Ghana,15,0,SC Freiburg,Germany Premeir League,Germany
736,Jordan,Ayew,"Ayew, Jordan",11-Sep-91,11,September,1991,31,FW,Ghana,84,19,Crystal Palace,English Premier League,England
737,Andre,Ayew,"Ayew, Andre",17-Dec-89,17,December,1989,32,FW,Ghana,110,23,Al-Sadd,Qatar Premeir League,Qatar
738,Osman,Bukari,"Bukari, Osman",13-Dec-98,13,December,1998,23,MF,Ghana,7,1,Red Star Belgrade,Serbia Premeir League,Serbia
739,Ibrahim,Danlad,"Danlad, Ibrahim",2-Dec-02,2,December,2002,19,GK,Ghana,4,0,Asante Kotoko,Ghana Premeir League,Ghana
740,Daniel,Afriyie,"Afriyie, Daniel",26-Jun-01,26,June,2001,21,MF,Ghana,7,3,Hearts of Oak,Ghana Premeir League,Ghana
741,Gideon,Mensah,"Mensah, Gideon",18-Jul-98,18,July,1998,24,DF,Ghana,12,0,Auxerre,France Premeir League,France
742,Joseph,Aidoo,"Aidoo, Joseph",29-Sep-95,29,September,1995,27,DF,Ghana,11,0,Celta Vigo,Spain Premeir League,Spain
743,Abdul,Manaf Nurudeen,"Manaf Nurudeen, Abdul",8-Feb-99,8,February,1999,23,GK,Ghana,2,0,Eupen,Belgium Premeir League,Belgium
744,Baba,Rahman,"Rahman, Baba",2-Jul-94,2,July,1994,28,DF,Ghana,48,1,Reading,English League Championship,England
745,Daniel,Amartey,"Amartey, Daniel",21-Dec-94,21,December,1994,27,DF,Ghana,46,0,Leicester City,English Premier League,England
746,Inaki,Williams,"Williams, Inaki",15-Jun-94,15,June,1994,28,FW,Ghana,3,0,Athletic Bilbao,Spain Premeir League,Spain
747,Mohammed,Kudus,"Kudus, Mohammed",2-Aug-00,2,August,2000,22,MF,Ghana,18,5,Ajax,Holland Eredivisie,Netherlands
748,Salis,Abdul Samed,"Abdul Samed, Salis",26-Mar-00,26,March,2000,22,MF,Ghana,1,0,Lens,France Premeir League,France
749,Kamaldeen,Sulemana,"Sulemana, Kamaldeen",15-Feb-02,15,February,2002,20,MF,Ghana,13,0,Rennes,France Premeir League,France
750,Alexander,Djiku,"Djiku, Alexander",9-Aug-94,9,August,1994,28,DF,Ghana,18,1,Strasbourg,France Premeir League,France
751,Kamal,Sowah,"Sowah, Kamal",9-Jan-00,9,January,2000,22,MF,Ghana,1,0,Club Brugge,Belgian Jupiler Pro League,Belgium
752,Antoine,Semenyo,"Semenyo, Antoine",7-Jan-00,7,January,2000,22,FW,Ghana,4,1,Bristol City,English League Championship,England
753,Alidu,Seidu,"Seidu, Alidu",4-Jun-00,4,June,2000,22,DF,Ghana,4,0,Clermont,France Premeir League,France
754,Rui,Patricio,"Patricio, Rui",15-Feb-88,15,February,1988,34,GK,Portugal,105,0,Roma,Italian Serie A,Italy
755,Diogo,Dalot,"Dalot, Diogo",18-Mar-99,18,March,1999,23,DF,Portugal,7,2,Manchester United,English Premier League,England
756,Pepe,,Pepe,26-Feb-83,26,February,1983,39,DF,Portugal,129,7,Porto,Portugal Premeir League,Portugal
757,Ruben,Dias,"Dias, Ruben",14-May-97,14,May,1997,25,DF,Portugal,40,2,Manchester City,English Premier League,England
758,Raphael,Guerreiro,"Guerreiro, Raphael",22-Dec-93,22,December,1993,28,DF,Portugal,57,3,Borussia Dortmund,German 1. Bundesliga,Germany
759,Joao,Palhinha,"Palhinha, Joao",9-Jul-95,9,July,1995,27,MF,Portugal,15,2,Fulham,English League Championship,England
760,Cristiano,Ronaldo,"Ronaldo, Cristiano",5-Feb-85,5,February,1985,37,FW,Portugal,191,117,Manchester United,English Premier League,England
761,Bruno,Fernandes,"Fernandes, Bruno",8-Sep-94,8,September,1994,28,MF,Portugal,49,11,Manchester United,English Premier League,England
762,Andre,Silva,"Silva, Andre",6-Nov-95,6,November,1995,27,FW,Portugal,52,19,RB Leipzig,German 1. Bundesliga,Germany
